Question,Type,Image,Option A,Option B,Option C,Option D,Answer,Unnamed: 8
"Write the correct German names for the given days of the week, including the definite article ""der"" for ""Thursday  "".",Text,,,,,,der Donnerstag,
"Write the correct German names for the given days of the week, including the definite article ""der"" for ""Friday  "".",Text,,,,,,der Freitag,
"Write the correct German names for the given days of the week, including the definite article ""der"" for ""Saturday  "".",Text,,,,,,der Samstag,
Option?,MCQ,images/as2.10.3.jpg,fahren – fahrest – fahrtet – fahrtest – fahrtet – fahren,fähre – fährst – fährt – fahren – fährt – fahren,fahre – fährst – fährt – fahren – fahrt – fahren,,B,
Option?,MCQ,images/as2.10.4.jpg,bin – bist – ist – sind – seid – sind,bin – ist – bist – seid – seid – sind,bist – ist – ist – sind – seid – sind,,A,
Option?,MCQ,images/as2.10.5.jpg,arbeiten – arbeitest – arbeitet – arbeitest – arbeitet – arbeiten,arbeitest – arbeite – arbeitet – arbeiten – arbeitet – arbeiten,arbeite – arbeitest – arbeitet – arbeiten – arbeitet – arbeiten,,C,
Option?,MCQ,images/as2.10.6.jpg,lesen – liest – liest – lesen – lest – lesen,lese – liest – liest – lesen – lest – lesen,lest – liest – liest – lese – lest – lesen,,B,
Which of the following is the correct plural for 'das Boot'?,MCQ,,A) die Boote,B) die Booten,C) die Boots,D) die Boöt,A,
what is the plural of 'das Ei'?,MCQ,,A) die Ei,B) die Eier,C) die Eien,D) die Eis,B,
What is the correct plural form of 'das Hemd'?,MCQ,,A) die Hemden,B) die Hemds,C) die Hemde,D) die Hemd,A,
Which plural form is correct for 'die Lehrerin'?,MCQ,,A) die Lehrerins,B) die Lehrerinnen,C) die Lehrin,D) die Lehrinnen,B,
What is the German word for 1?,MCQ,,eins,zehn,vier,sieben,A,
What is the German word for 2?,MCQ,,elf,fünf,acht,zwei,D,
What is the German word for 3?,MCQ,,neun,zwölf,drei,sechs,C,
What is the German word for 4?,MCQ,,vier,dreizehn,sieben,zehn,A,
What is the German word for 5?,MCQ,,elf,acht,vierzehn,fünf,D,
What is the German word for 6?,MCQ,,fünfzehn,sechs,zwölf,neun,B,
What is the German word for 7?,MCQ,,dreizehn,sechzehn,zehn,sieben,D,
What is the German word for 8?,MCQ,,elf,acht,siebzehn,vierzehn,B,
What is the German word for 9?,MCQ,,neun,zwölf,achtzehn,fünfzehn,A,
What is the German word for 10?,MCQ,,dreizehn,neunzehn,zehn,sechzehn,C,
What is the German word for 11?,MCQ,,vierzehn,zwanzig,siebzehn,elf,D,
What is the German word for 12?,MCQ,,einundzwanzig,achtzehn,fünfzehn,zwölf,D,
What is the German word for 13?,MCQ,,neunzehn,dreizehn,sechzehn,zweiundzwanzig,B,
What is the German word for 14?,MCQ,,siebzehn,zwanzig,dreiundzwanzig,vierzehn,D,
What is the German word for 15?,MCQ,,achtzehn,einundzwanzig,fünfzehn,vierundzwanzig,C,
What is the German word for 16?,MCQ,,fünfundzwanzig,neunzehn,sechzehn,zweiundzwanzig,C,
What is the German word for 17?,MCQ,,dreiundzwanzig,eins,siebzehn,zwanzig,C,
What is the German word for 18?,MCQ,,achtzehn,zwei,vierundzwanzig,einundzwanzig,A,
What is the German word for 19?,MCQ,,drei,zweiundzwanzig,fünfundzwanzig,neunzehn,D,
What is the German word for 20?,MCQ,,eins,vier,zwanzig,dreiundzwanzig,C,
What is the German word for 21?,MCQ,,fünf,einundzwanzig,vierundzwanzig,zwei,B,
What is the German word for 22?,MCQ,,fünfundzwanzig,drei,zweiundzwanzig,sechs,C,
What is the German word for 23?,MCQ,,dreiundzwanzig,eins,sieben,vier,A,
What is the German word for 24?,MCQ,,fünf,zwei,vierundzwanzig,acht,C,
What is the German word for 25?,MCQ,,neun,fünfundzwanzig,drei,sechs,B,
"Wie fragt man auf Deutsch: 'Excuse me, how do I get to the train station?'",MCQ,,"Entschuldigung, wo ist der Zug?","Entschuldigung, wie komme ich zum Bahnhof?",Wo fährt der Bus?,"Entschuldigung, können Sie mir helfen zum Markt?",B,
Welche Antwort passt: 'Go straight ahead.',MCQ,,Gehen Sie geradeaus.,Biegen Sie rechts ab.,Es ist gegenüber von …,Nehmen Sie die zweite Straße links.,A,
Wie sagt man auf Deutsch: 'Turn right'?,MCQ,,Biegen Sie links ab.,Gehen Sie geradeaus.,Biegen Sie rechts ab.,Nehmen Sie die erste Straße links.,C,
Welche Antwort bedeutet: 'It is next to the bank.',MCQ,,Es ist neben der Bank.,Es ist gegenüber von der Bank.,Es ist weit von hier.,Gehen Sie links und dann rechts.,A,
Wie fragt man: 'Is there a post office nearby?',MCQ,,Wo ist die Bank?,Ist es weit von hier?,Gibt es hier in der Nähe eine Post?,Wie komme ich zur Schule?,C,
Welche Antwort passt: 'Take the second street on the left.',MCQ,,Nehmen Sie die erste Straße rechts.,Nehmen Sie die zweite Straße links.,Gehen Sie geradeaus.,Es ist in der Nähe.,B,
"Wie sagt man: 'At the traffic light, turn left.'",MCQ,,An der Ampel biegen Sie links ab.,An der Kreuzung biegen Sie rechts ab.,Gehen Sie weiter geradeaus.,Es ist hinter der Kirche.,A,
Welche Antwort passt: 'It is opposite the supermarket.',MCQ,,Es ist neben dem Supermarkt.,Es ist gegenüber vom Supermarkt.,Es ist weit weg.,Es ist vor dem Supermarkt.,B,
Wie fragt man: 'Where is the nearest bus stop?',MCQ,,Wo ist die nächste Bushaltestelle?,Wie komme ich zum Busbahnhof?,Gibt es hier einen Supermarkt?,Ist es weit von hier?,A,
Welche Antwort passt: 'Follow the road.',MCQ,,Gehen Sie geradeaus.,Folgen Sie der Straße.,Nehmen Sie die erste Straße rechts.,Es ist in der Nähe.,B,
geradeaus means,MCQ,,turn right,straight on,turn left,,B,
Gehen Sie nach rechts,MCQ,,go straight on,turn right,turn left,,B,
biegen Sie nach links ab,MCQ,,turn right,turn left,take street straight on,,B,
die Straße,MCQ,,the street,the castle,tram,,A,
Go,MCQ,,Nehmen Sie,gehen Sie,biegen Sie,,B,
Biegen Sie ... ab,MCQ,,continue,go,turn,,C,
Nehmen Sie die erste Straße links,MCQ,,go straight on,take first street left,take second street left,,B,
Nehmen Sie die dritte Straße rechts,MCQ,,take the third street right,take the second street right,Take the third street left,,A,
Das Schloss steht auf der rechten Seite,MCQ,,The castle is situated on the right hand side,The castle is situated on the left hand side,The shop is situated on the left hand side,,A,
Rechts,,,left ,right ,straight,continue,B,
